iter	Passed	Remaining
1161	15641	51662
1162	15648	51629
1163	15666	51630
1164	15680	51617
1165	15698	51619
1166	15707	51589
1167	15726	51596
1168	15737	51573
1169	15745	51544
1170	15754	51515
1171	15771	51513
1172	15786	51504
1173	15802	51499
1174	15808	51461
1175	15829	51474
1176	15842	51457
1177	15857	51450
1178	15870	51435
1179	15888	51435
1180	15905	51434
1181	15922	51432
1182	15936	51419
1183	15954	51420
1184	15964	51396
1185	15978	51383
1186	15992	51373
1187	15995	51326
1188	16013	51326
1189	16025	51307
1190	16039	51297
1191	16049	51272
1192	16066	51270
1193	16081	51262
1194	16099	51261
1195	16106	51228
1196	16114	51198
1197	16126	51178
1198	16139	51164
1199	16152	51148
1200	16158	51112
1201	16172	51099
1202	16182	51075
1203	16193	51056
1204	16203	51030
1205	16214	51010
1206	16226	50991
1207	16237	50970
1208	16247	50947
1209	16257	50922
1210	16269	50902
1211	16285	50898
1212	16297	50880
1213	16308	50858
1214	16323	50852
1215	16334	50829
1216	16348	50818
1217	16361	50804
1218	16376	50794
1219	16386	50770
1220	16398	50753
1221	16409	50732
1222	16423	50719
1223	16435	50702
1224	16440	50664
1225	16452	50646
1226	16466	50634
1227	16485	50637
1228	16501	50632
1229	16512	50611
1230	16524	50593
1231	16537	50580
1232	16548	50559
1233	16562	50547
1234	16579	50544
1235	16592	50530
1236	16604	50510
1237	16609	50473
1238	16621	50453
1239	16627	50420
1240	16644	50415
1241	16655	50395
1242	16665	50372
1243	16676	50350
1244	16691	50343
1245	16701	50320
1246	16719	50320
1247	16732	50303
1248	16747	50295
1249	16753	50259
1250	16764	50239
1251	16778	50229
1252	16789	50207
1253	16798	50179
1254	16810	50162
1255	16823	50149
1256	16838	50141
1257	16849	50121
1258	16862	50104
1259	16874	50086
1260	16887	50074
1261	16902	50065
1262	16913	50045
1263	16919	50009
1264	16932	49994
1265	16944	49975
1266	16951	49945
1267	16964	49930
1268	16976	49912
1269	16988	49895
1270	16995	49863
1271	17010	49855
1272	17028	49855
1273	17044	49848
1274	17063	49850
1275	17077	49840
1276	17085	49812
1277	17097	49795
1278	17105	49766
1279	17117	49748
1280	17132	49739
1281	17149	49737
1282	17164	49727
1283	17177	49713
1284	17189	49694
1285	17196	49663
1286	17208	49645
1287	17219	49625
1288	17235	49620
1289	17245	49596
1290	17254	49571
1291	17269	49563
1292	17282	49549
1293	17297	49540
1294	17307	49515
1295	17318	49498
1296	17332	49484
1297	17337	49449
1298	17352	49438
1299	17361	49413
1300	17376	49405
1301	17388	49386
1302	17396	49358
1303	17406	49335
1304	17419	49322
1305	17433	49310
1306	17444	49291
1307	17454	49267
1308	17465	49248
1309	17477	49231
1310	17487	49207
1311	17502	49199
1312	17511	49174
1313	17525	49162
1314	17533	49133
1315	17548	49124
1316	17564	49119
1317	17583	49122
1318	17597	49109
1319	17611	49098
1320	17621	49075
1321	17631	49052
1322	17642	49032
1323	17652	49010
1324	17663	48992
1325	17677	48979
1326	17687	48956
1327	17698	48937
1328	17704	48903
1329	17714	48880
1330	17728	48870
1331	17738	48847
1332	17746	48819
1333	17760	48808
1334	17774	48797
1335	17788	48784
1336	17803	48776
1337	17815	48760
1338	17826	48740
1339	17843	48737
1340	17853	48714
1341	17864	48695
1342	17876	48678
1343	17886	48655
1344	17903	48652
1345	17915	48635
1346	17923	48606
1347	17935	48590
1348	17946	48571
1349	17958	48555
1350	17970	48536
1351	17979	48511
1352	17992	48498
1353	18001	48474
1354	18007	48440
1355	18021	48429
1356	18031	48406
1357	18042	48388
1358	18051	48364
1359	18059	48335
1360	18069	48313
1361	18085	48306
1362	18096	48287
1363	18111	48279
1364	18126	48269
1365	18136	48250
1366	18147	48229
1367	18158	48210
1368	18166	48183
1369	18175	48157
1370	18185	48135
1371	18196	48118
1372	18207	48096
1373	18216	48074
1374	18231	48063
1375	18240	48039
1376	18251	48020
1377	18262	48001
1378	18274	47986
1379	18284	47962
1380	18293	47940
1381	18304	47921
1382	18319	47912
1383	18329	47888
1384	18342	47874
1385	18353	47857
1386	18364	47838
1387	18372	47811
1388	18383	47791
1389	18397	47780
1390	18410	47766
1391	18422	47750
1392	18437	47740
1393	18450	47727
1394	18460	47707
1395	18468	47678
1396	18476	47652
1397	18489	47639
1398	18499	47617
1399	18507	47589
1400	18518	47571
1401	18534	47565
1402	18541	47536
1403	18553	47519
1404	18567	47508
1405	18579	47493
1406	18590	47474
1407	18600	47452
1408	18610	47431
1409	18624	47418
1410	18639	47412
1411	18649	47390
1412	18661	47373
1413	18673	47356
1414	18682	47333
1415	18695	47320
1416	18712	47315
1417	18721	47293
1418	18733	47276
1419	18745	47260
1420	18759	47249
1421	18769	47228
1422	18785	47221
1423	18797	47203
1424	18811	47194
1425	18824	47179
1426	18834	47158
1427	18847	47144
1428	18854	47117
1429	18870	47111
1430	18885	47100
1431	18892	47072
1432	18903	47053
1433	18914	47036
1434	18926	47018
1435	18939	47005
1436	18950	46987
1437	18968	46985
1438	18981	46972
1439	18987	46941
1440	18996	46918
1441	19008	46901
1442	19021	46889
1443	19029	46862
1444	19039	46841
1445	19053	46828
1446	19065	46814
1447	19079	46802
1448	19091	46785
1449	19096	46753
1450	19111	46744
1451	19127	46737
1452	19143	46731
1453	19155	46715
1454	19169	46703
1455	19183	46692
1456	19196	46680
1457	19206	46659
1458	19221	46649
1459	19235	46639
1460	19245	46618
1461	19257	46602
1462	19270	46588
1463	19283	46575
1464	19295	46559
1465	19306	46539
1466	19315	46518
1467	19326	46500
