iter	MAE
662	12054.17213
663	12047.81469
664	12042.62381
665	12034.15878
666	12024.75484
667	12018.40125
668	12011.36408
669	11999.32543
670	11989.32935
671	11985.64017
672	11977.47575
673	11971.46771
674	11962.03115
675	11953.24302
676	11949.16478
677	11936.22003
678	11926.87105
679	11917.77899
680	11907.72766
681	11900.06756
682	11892.56329
683	11887.13375
684	11881.32258
685	11871.621
686	11859.15426
687	11848.85415
688	11842.88566
689	11834.61991
690	11829.29653
691	11823.1027
692	11814.4476
693	11806.67497
694	11801.19067
695	11794.75243
696	11788.58929
697	11778.94635
698	11771.94952
699	11762.89511
700	11758.08982
701	11751.40194
702	11743.27274
703	11735.65132
704	11726.0486
705	11721.76557
706	11714.19169
707	11707.0921
708	11697.52312
709	11692.50494
710	11685.6561
711	11679.95307
712	11671.81328
713	11664.5659
714	11656.79998
715	11649.23116
716	11645.3406
717	11638.94718
718	11631.84886
719	11625.09762
720	11615.37365
721	11607.29166
722	11602.6722
723	11597.28956
724	11590.16874
725	11582.83524
726	11572.45863
727	11568.20511
728	11563.63216
729	11556.37287
730	11548.59363
731	11543.31972
732	11534.55083
733	11525.49897
734	11520.20521
735	11512.96261
736	11506.45202
737	11501.88016
738	11496.41917
739	11490.15631
740	11481.20598
741	11473.17637
742	11465.22694
743	11460.90731
744	11454.02334
745	11445.57723
746	11442.1624
747	11435.04652
748	11428.99856
749	11420.03046
750	11410.63921
751	11405.4267
752	11401.39008
753	11395.66784
754	11390.07029
755	11380.34352
756	11374.08595
757	11367.98939
758	11361.91825
759	11353.46625
760	11345.57335
761	11336.52443
762	11327.63664
763	11321.29494
764	11314.25973
765	11305.2226
766	11300.00009
767	11293.30401
768	11287.67434
769	11281.49528
770	11272.09256
771	11267.32333
772	11261.97563
773	11253.26151
774	11241.63391
775	11233.94621
776	11228.23322
777	11221.18462
778	11217.06947
779	11212.83942
780	11206.91178
781	11197.78661
782	11191.62832
783	11179.10369
784	11175.24367
785	11169.08752
786	11162.64482
787	11154.59889
788	11147.35415
789	11143.86043
790	11138.63436
791	11131.95545
792	11126.4717
793	11120.69875
794	11115.83896
795	11107.95545
796	11102.26869
797	11098.58763
798	11089.10424
799	11084.50634
800	11079.22905
801	11073.80835
802	11064.44906
803	11058.86912
804	11053.70139
805	11043.8203
806	11036.64159
807	11030.32974
808	11022.73536
809	11018.00024
810	11010.39293
811	11002.59378
812	10995.85983
813	10989.30574
814	10982.14338
815	10976.01128
816	10968.96198
817	10959.49755
818	10955.57342
819	10949.13654
820	10942.6843
821	10933.61994
822	10930.22037
823	10923.31995
824	10915.97146
825	10911.70653
826	10903.14825
827	10896.9871
828	10889.83078
829	10880.9793
830	10873.26637
831	10866.53582
832	10860.30457
833	10855.79952
834	10848.96265
835	10841.15434
836	10835.66496
837	10829.57796
838	10822.23745
839	10815.00525
840	10808.48895
841	10801.85181
842	10793.46872
843	10786.46066
844	10783.46364
845	10778.64192
846	10767.86287
847	10760.30602
848	10756.4251
849	10752.69909
850	10743.89365
851	10738.5546
852	10733.65681
853	10728.56493
854	10723.87369
855	10718.67158
856	10714.12737
857	10708.17754
858	10701.28727
859	10697.12909
860	10689.52875
861	10684.1967
862	10679.07409
863	10671.9367
864	10663.71748
865	10661.22457
866	10655.24301
867	10650.06957
868	10642.26797
869	10637.98926
870	10629.87718
871	10624.30044
872	10617.52785
873	10611.97013
874	10605.38638
875	10601.36881
876	10595.95964
877	10586.9773
878	10581.6994
879	10575.43464
880	10570.58186
881	10565.22366
882	10559.22964
883	10552.39345
884	10545.72058
885	10542.3059
886	10536.00044
887	10529.61014
888	10521.67771
889	10516.70214
890	10507.85261
891	10501.48868
892	10496.52721
893	10489.27958
894	10483.27542
895	10475.58742
896	10466.50904
897	10458.60601
898	10454.61982
899	10449.61146
900	10442.1281
901	10438.62241
902	10430.26259
903	10423.37866
904	10418.04202
905	10411.59113
906	10404.56168
907	10398.53491
908	10389.99592
909	10384.62634
910	10379.69157
911	10374.1087
912	10365.06985
913	10356.60416
914	10350.88635
915	10344.27171
916	10336.74637
917	10332.43585
918	10327.35357
919	10319.68749
920	10314.71375
921	10307.81894
922	10302.67488
923	10297.7385
924	10293.87336
925	10289.43261
926	10284.9904
927	10280.53517
928	10273.51214
929	10266.04732
930	10258.98164
931	10252.60093
932	10246.78828
933	10242.85134
934	10237.92256
935	10233.62788
936	10230.78696
937	10227.39705
938	10222.03807
939	10218.23541
940	10213.61774
941	10209.35932
942	10203.95741
943	10198.45353
944	10193.81091
945	10188.112
946	10182.75726
947	10176.63521
948	10169.34844
949	10164.10373
950	10156.05917
951	10147.81146
952	10142.55213
953	10137.91575
954	10134.66942
955	10129.28041
956	10125.6515
957	10120.4944
958	10113.69766
959	10106.29457
960	10100.02127
961	10095.04941
962	10090.06041
963	10081.9728
964	10075.42967
965	10069.83362
966	10063.86017
967	10060.73547
968	10057.55181
969	10053.53222
970	10048.4289
971	10042.36914
972	10034.39866
973	10031.91017
974	10028.54531
975	10023.18864
976	10014.97042
977	10008.65231
978	10005.43596
979	9996.711785
980	9989.740383
981	9984.624554
982	9976.283933
983	9972.532124
984	9968.180179
985	9963.879887
986	9959.221606
987	9953.30741
988	9950.722764
989	9946.184845
990	9941.498523
991	9935.134877
992	9930.044722
993	9926.063855
994	9923.63446
995	9919.276827
996	9912.757586
997	9907.202841
998	9900.336401
999	9896.204361
1000	9890.656923
1001	9887.455309
1002	9881.836921
1003	9873.82137
1004	9868.468423
1005	9863.407103
1006	9857.731525
1007	9851.922155
1008	9847.300632
1009	9841.434037
1010	9836.305579
1011	9830.16819
1012	9827.346268
1013	9822.338814
1014	9817.849036
1015	9812.049282
1016	9808.851999
1017	9803.708574
1018	9798.676244
1019	9794.474267
1020	9787.680649
1021	9783.589922
1022	9780.021545
1023	9772.639218
1024	9769.478089
1025	9763.086735
1026	9757.723036
1027	9754.296546
1028	9748.272314
1029	9745.35033
1030	9740.424133
1031	9736.167801
1032	9731.930984
1033	9727.01723
1034	9723.157975
1035	9718.041454
1036	9712.881262
1037	9708.866973
1038	9704.321563
1039	9700.83901
1040	9694.920326
1041	9690.038162
1042	9685.641371
1043	9679.407208
1044	9673.487721
1045	9670.038473
1046	9665.756132
1047	9660.161992
1048	9657.015575
1049	9654.110329
1050	9650.581386
1051	9646.232253
1052	9642.466769
1053	9636.881765
1054	9629.134216
1055	9623.931271
1056	9616.608599
1057	9610.508873
1058	9605.548803
1059	9601.092041
1060	9594.847736
1061	9591.907014
1062	9585.832202
1063	9582.090635
1064	9576.460513
1065	9570.84147
1066	9564.742944
1067	9561.536816
1068	9554.306694
1069	9547.80679
1070	9543.686368
1071	9540.284195
1072	9534.949219
1073	9530.040883
1074	9524.931433
1075	9521.044177
1076	9514.858539
1077	9511.392629
1078	9504.493831
1079	9500.818695
1080	9495.593263
1081	9493.228234
1082	9491.26198
1083	9485.403544
1084	9478.755745
1085	9471.784431
1086	9469.141432
1087	9466.355698
1088	9462.186014
1089	9458.615779
1090	9454.199389
1091	9448.607246
1092	9440.416828
1093	9434.494458
1094	9430.139622
1095	9423.187223
1096	9417.732289
1097	9414.084599
1098	9407.853039
1099	9401.254283
1100	9397.731609
1101	9390.306925
1102	9385.579062
1103	9382.266452
1104	9377.73329
1105	9369.678932
1106	9367.557429
1107	9364.247688
1108	9359.184286
1109	9352.997229
1110	9348.6721
1111	9344.913298
1112	9341.462037
1113	9338.282577
1114	9334.410637
1115	9330.726746
1116	9325.636614
1117	9320.725255
1118	9317.070028
1119	9312.158363
1120	9306.74105
1121	9303.528143
1122	9300.735938
1123	9296.918766
1124	9293.702265
1125	9288.389506
1126	9285.123374
1127	9281.4165
1128	9277.900308
1129	9274.905028
1130	9271.433632
1131	9268.997637
1132	9264.632576
1133	9260.658821
1134	9255.753819
1135	9251.045916
1136	9248.789144
1137	9244.651448
1138	9240.378764
1139	9236.354687
1140	9233.864966
1141	9231.290658
1142	9225.440266
1143	9216.390116
1144	9211.201748
1145	9207.892077
1146	9201.308313
1147	9197.004977
1148	9193.643874
1149	9189.343777
1150	9186.01797
1151	9183.622693
1152	9180.700112
1153	9178.591138
1154	9175.40732
1155	9170.456589
1156	9168.308769
1157	9164.113667
1158	9161.289096
1159	9157.175482
1160	9153.224135
1161	9148.033218
1162	9143.900776
